State,State Code,drug,adj_rate_15,adj_rate_16,adj_rate_flag_15,adj_rate_flag_16,deaths_15,deaths_16,deaths_flag_15,deaths_flag_16,lower_int_15,lower_int_16,population_15,population_16,upper_int_15,upper_int_16,gt_100_deaths,nonoverlapping_intervals,zscore,sig,quality_reporting
Alabama,01,coc,0.83,1.78,,,38.0,82.0,,,0.58,1.41,4858979,4863300,1.14,2.22,False,True,4.099586552617307,1.0,False
Alaska,02,coc,,,Suppressed,Unreliable,,15.0,Suppressed,,,0.99,738432,741894,,3.04,False,False,,,True
Arizona,04,coc,0.94,1.22,,,62.0,82.0,,,0.72,0.96,6828065,6931071,1.22,1.52,False,False,1.5793969210076189,0.0,True
Arkansas,05,coc,,,Unreliable,Unreliable,14.0,10.0,,,0.29,0.17,2978204,2988248,0.9,0.64,False,False,,0.0,False
California,06,coc,0.72,0.86,,,296.0,366.0,,,0.64,0.78,39144818,39250017,0.8,0.95,True,False,2.204975286074686,1.0,False
Colorado,08,coc,1.04,1.87,,,60.0,106.0,,,0.79,1.51,5456574,5540545,1.34,2.23,False,True,3.603911848851132,1.0,True
Connecticut,09,coc,4.66,6.91,,,166.0,237.0,,,3.93,6.01,3590886,3576452,5.4,7.82,True,True,3.960741681498175,1.0,True
Delaware,10,coc,2.3,5.35,,,23.0,50.0,,,1.44,3.93,945934,952065,3.48,7.11,False,True,3.394913286203825,1.0,False
District of Columbia,11,coc,4.87,13.47,,,33.0,89.0,,,3.33,10.79,672228,681170,6.87,16.61,False,True,5.21597288187912,1.0,True
Florida,12,coc,2.93,5.38,,,558.0,1048.0,,,2.68,5.05,20271272,20612439,3.18,5.71,True,True,12.136293453003312,1.0,False
Georgia,13,coc,1.54,1.99,,,159.0,209.0,,,1.3,1.72,10214860,10310371,1.79,2.27,True,False,2.4256299634576775,1.0,True
Hawaii,15,coc,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,1431603,1428557,,,False,False,,,True
Idaho,16,coc,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,1654930,1683140,,,False,False,,,False
